Gene Symbol,GSM155932,GSM155933,GSM155934,GSM155935,GSM155983,GSM155987,GSM155991,GSM155993
NR2C1,8.63117341712426,8.337407823167219,9.00293593819372,9.058267784326679,8.35358794919542,8.21673130993667,7.31087630503095,8.05752067225122
IFT140,3.6863772625353395,4.15310002623614,3.6384909417104603,3.6661771255504303,3.9103968892787098,3.6173925276921497,3.68476264412057,3.63599810838879
GPRASP1,4.54672163472937,5.103913015645531,4.60679160703617,5.44052038766042,6.2400528648741105,4.9175797410040305,5.76357092079208,5.797586309230231
DUSP2,3.0748051104039704,2.6546211361152,2.98983474915264,3.29775194805216,3.10027126046304,2.97222393171031,2.8545702162487596,4.10504105982079
PRR3,4.60942403086215,4.63042294588038,5.13241232986512,4.50693828133952,4.17102263501029,4.5689259095063,5.02614937222682,4.881042971601019
EML1,3.43446810461942,3.67062509364986,4.50092949398661,2.92704878729613,3.60859637032606,3.2292510494965,4.4357752561484105,3.5472400481067003
MYB,2.43387282491694,2.4650132180533304,2.36658799539426,2.38727429990867,2.37189336181144,2.38939610110496,2.35277547124151,2.3889967795572202
ZBED4,2.48445783515905,3.55752037437083,3.29057185085208,3.31854100209621,4.3994172198450805,4.28727280997356,4.34825366851877,4.60125674833733
DHRS12,6.955405805542459,6.48211578101055,5.88666232006258,7.82132755421968,5.846914479313309,6.2278411739652,6.807676916265139,6.58816443293436
RRAD,3.30024675118464,3.37125217020002,3.33296566258596,3.3412457138495295,3.17339771355156,3.34515505438595,3.5161916897903596,3.67980660426287
TRIM21,7.15736714811149,6.81483237255172,5.78682111208919,6.456551552847119,6.79807644363302,5.69261131743703,6.699107384624,6.23808941389853
H1-10,7.404775423272341,7.61030142358724,7.165600460005571,8.59845453720786,8.384952072679349,7.96740496323722,8.20511877536506,9.10934227484223
HLA-F,11.7789025815661,11.245148599982901,10.8195244943368,12.2026931963463,10.0884305013821,10.2006043976333,11.254296411133199,11.065880576745698
RXYLT1,6.02645040682819,5.6451857417730995,5.99094805521566,5.73791115117084,5.1940121725349595,4.75864962968289,5.08007347528321,5.292700779376889
CLPX,9.64337280596472,9.853109903789369,9.40627729783216,9.78461358118819,8.58963991198662,9.596130108604779,9.19596515931582,8.486469023228981
CKM,2.63207274034858,2.55425484446244,2.50049614888789,2.4613504379786204,2.4288097042282097,2.46582561769948,2.4730725293066804,2.46462644914982
CACNA2D2,4.77016303307573,5.05367613659722,4.73884348174799,4.9210220868483,4.31521841136579,4.98896183935362,4.68533469482827,4.9484887165783
ZW10,6.56559108337919,6.40185911180694,6.58064599829574,6.50267907512941,5.15364322640519,6.24333205228966,6.27284809708482,6.00583785020141
MAPK10,3.9397155440236498,4.573016959426139,3.28014568336278,3.23452124715168,4.1001871436984505,3.5581941502637298,3.93046296290883,4.54365053798355
DHX34,2.26084766755276,2.2742944663527003,2.2106413451566,2.20847356002953,2.15792005907568,2.23825492056455,2.16518196760864,2.2079115878189
ESPL1,5.58863968843864,4.89254645942996,4.8637204443180195,4.856906035683201,4.90395894804546,4.37094541257664,4.85260316377705,4.8584535247308605
HSD17B2,10.538353857498699,11.871620365797801,10.980817913334501,9.428458582507359,11.2353920001897,9.8142652143492,10.9706020463521,9.37150441204334
FGD1,3.43996881108234,3.4154612287148898,3.35357736380624,3.02958893267053,3.1663796338782597,2.75857821396454,3.02929208656441,3.09277236047957
BTN3A2,9.47008534217206,10.0635299063006,9.79619376935439,11.4771156890354,10.481678361267699,9.118987777922051,9.724524084963392,10.963878669224998
BTN3A3,7.24017119772579,7.77079601692179,8.128762522353231,9.734299782441079,7.774866109218509,6.15977851704866,7.09218629149744,8.228645556702741
TTK,3.7128268572557004,2.7370485467461902,4.22337620994957,3.1180141288641203,6.1410975837177695,4.11472515536351,2.6857742345812405,3.9528740097837103
ENDOG,7.9821893189391195,7.1036759723087695,7.849223677481611,8.875776991933071,6.00889245099445,7.374700445099419,7.1841612552641605,7.2079221268118605
MELK,4.11733764882734,4.51566830362157,6.5978678233768,4.5673446537439295,5.229349504607121,4.75643623192725,5.46393954813317,4.688633577919321
CCNF,4.697751583023759,5.09246963018441,4.681280584950651,4.64611080217101,5.40744113220065,5.29508380724586,4.88854357095676,4.6495464839465
FOLR2,7.32349617325617,7.18026723191276,6.64919868416587,6.7081044470133,5.88914739039127,5.81761558358123,7.124152337195389,6.65858282179994
PSG5,2.46192401534728,2.40162500595729,2.3454928924920497,2.3465257888157596,2.32171456021936,2.37108485594583,2.35648753645286,2.38788084731496
BMPR1A,5.4431258940358695,5.848835730078171,6.34361390686939,5.528224355251191,4.68440920533465,5.93083666724455,5.66908347410581,5.48152499084319
