A13J-11A A20N-11A A20Q-11A A20R-11A A20U-11A A20W-11A A2LA-11A A2LB-11A A0YN-11A A0YR-11A A3BM-11A A3WC-11A A6I3-11A A2C5-11A A3OP-11A A3OQ-11A A3WV-11A A54R-11A A5RI-11A
ABLIM3 3623.8245 1600.1750 1971.7314 1367.2339 746.5116 742.4658 797.4684 1019.0167 1526.7728 1534.1176 503.3335 1956.8513 759.6282 699.7608 1313.8536 1166.3391 1573.0042 752.0908 759.7831
ABO 8.8512 5.2493 3.5336 10.2889 219.3798 96.9863 92.4051 385.8998 7.2359 18.8235 84.3147 68.8047 5.9761 147.5279 113.4410 414.8835 243.6975 82.4373 47.2754
ABP1 4.4256 0.8749 0.0000 0.7915 25.5814 41.6438 12.6582 104.8237 7.2359 10.0000 1.2775 82.2157 336.6534 49.8405 44.0014 4.9986 77.7311 23.8949 320.3149
ABRA 8.1136 169.7288 3.5336 13.4547 4.6512 2.7397 0.8439 5.5659 0.0000 6.4706 1.2775 11.0787 1.3280 3.1898 6.5315 0.9997 4.7269 2.3895 4.8240
ABR 2391.2963 1971.1286 3027.3852 1649.3866 4227.1318 2182.4658 3304.6414 4320.0371 1906.6570 2880.0000 3922.5518 3165.0146 1656.0425 1700.5582 4444.1389 4908.6215 4888.6555 3056.1529 2467.4861
ABT1 429.2827 362.2047 462.0141 373.1698 881.3953 640.5479 832.4895 823.2839 438.4949 558.8235 707.0941 551.6035 944.2231 932.2169 754.5548 585.5022 880.2521 938.4707 1074.7916
ABTB1 1211.1377 844.2695 1096.2898 695.2909 341.8605 549.5890 786.0759 497.6809 622.2865 1114.7059 662.3817 1356.2682 2662.6826 665.4705 642.8326 595.8327 639.7059 523.8949 1123.5142
ABTB2 158.5838 166.2292 279.1519 155.5204 96.1240 168.7671 155.6962 102.9685 80.3184 173.5294 141.1633 162.0991 90.3054 108.8517 88.3465 281.2543 159.1387 242.5329 217.5633
ACAA1 750.1383 608.9239 653.7102 674.7131 1840.3101 1492.6027 2937.1308 2315.8627 765.5572 974.1176 1697.1536 1483.3819 3768.9243 1144.7368 3022.0007 1997.1058 3085.6092 2176.8220 1851.9412
ACAA2 2780.7487 1552.9309 2060.9541 2462.2082 335.6589 1129.8630 1232.4895 344.6197 2486.2518 1690.0000 709.0103 1844.3149 982.0717 873.6045 311.7910 921.0747 735.2941 292.7121 1069.4852
ACACA 3344.2744 3075.2406 2726.1484 3492.6791 2106.9767 1728.2192 1162.4473 1357.6067 3392.9088 2080.0000 1696.5148 2169.0962 832.6693 2218.1021 1405.6377 2319.3486 1785.1891 1296.8937 699.4829
ACACB 3993.3616 2945.7568 3693.4629 4098.5358 320.9302 836.7123 426.1603 401.6698 2301.7366 2565.2941 931.9334 3181.3411 645.4183 467.7033 546.5796 1193.6648 796.7437 567.5030 881.3484
ACAD10 336.3452 354.3307 342.7562 364.8595 355.8140 434.5205 582.2785 413.7291 369.7540 470.0000 628.5281 511.9534 772.9084 442.1850 662.7707 704.4688 712.7101 432.4970 471.3067
ACAD11 435.9211 311.4611 255.3004 285.3186 284.4961 169.3151 189.4515 223.0983 227.2069 320.5882 313.6253 467.0554 199.8672 280.7018 291.5091 413.5505 318.2773 313.6201 269.1803
